"","Species","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"65","BAWW","mixedwood",0.45,-0.533267748130691,0.0302727333146779,-0.542222521213791,-0.550977088886246,-0.507875831685127,0.0431012572011198,-0.615628974687926,-0.602083095277171,-0.443223945883447,-0.483208528055363
"66","BAWW","mixedwood",0.55,-0.609787632357224,0.0573471237412938,-0.609680506537213,-0.656144318803032,-0.559246609844595,0.0968977089584367,-0.801490882240687,-0.727050510887996,-0.41390004640694,-0.510363642171361
"67","BAWW","mixedwood",0.65,-0.711866265534399,0.0919428210000839,-0.701185461862415,-0.790215969334026,-0.62510851055731,0.165107458776716,-1.0378771574991,-0.886337517830792,-0.377447322392235,-0.571081220018684
"68","BAWW","mixedwood",0.75,-0.92489617145826,0.14714164893904,-0.941122760573106,-1.05230252112732,-0.760395366288746,0.291907154838578,-1.49016325338519,-1.13770222070532,-0.322534634030879,-0.690800886683482
"69","BAWW","mixedwood",0.85,-1.22119262562661,0.252077936135989,-1.32760622172486,-1.40996726643442,-0.949776756495574,0.460190509938847,-2.10025303134269,-1.58071241471023,-0.259490991587304,-0.76306820379685
"70","BAWW","mixedwood",0.95,-1.74693345873933,0.486266387304882,-1.87527859852739,-2.18229309872551,-1.40019907696214,0.782094021763367,-3.35543413137056,-2.40863034825009,-0.227058044317093,-0.801037149423581
"71","BBWA","mixedwood",0.05,-0.108336026951835,0.0144027278964128,-0.111478865367336,-0.119681619721404,-0.102111730547921,0.017569889173483,-0.146036453481628,-0.127598309132567,-0.0757568967876965,-0.0819941796699878
"72","BBWA","mixedwood",0.15,-0.16950682111984,0.0237460189781856,-0.173258923467334,-0.188055240049621,-0.166062475855371,0.0219927641942498,-0.221044386340996,-0.206774782600822,-0.133073329563997,-0.12223935316585
"73","BBWA","mixedwood",0.25,-0.2220495672688,0.0193802174439854,-0.225423060064434,-0.23480729012603,-0.208315711062571,0.0264915790634591,-0.274544658721218,-0.25689658799075,-0.168578342467382,-0.181526650371971
"74","BBWA","mixedwood",0.35,-0.285565348496136,0.0280626254857789,-0.286435758303244,-0.311436209864781,-0.258909370641687,0.052526839223094,-0.390226468699422,-0.334318806342778,-0.180119111807046,-0.229837134845194
"75","BBWA","mixedwood",0.45,-0.341183360683377,0.0467940771476607,-0.338275191917467,-0.384681571281395,-0.301592716565003,0.0830888547163918,-0.509314853355983,-0.418738403807976,-0.176959434490416,-0.248112697126524
"76","BBWA","mixedwood",0.55,-0.345500785968935,0.0675393177469167,-0.352054320474488,-0.407592650352438,-0.280572538983372,0.127020111369067,-0.598122817406038,-0.443703983847618,-0.0900423719297717,-0.224256118144121
"77","BBWA","mixedwood",0.65,-0.368845440931068,0.0902953683430045,-0.376299064703857,-0.460678670912796,-0.276426246580983,0.184252424331813,-0.737057307410515,-0.503813762387907,-4.7610083263705e-05,-0.226979565653054
