"","Habitat","Scenario","Mean","SD","Median","Q1","Q3","IQR","Minimum","MinimumOutlier","Maximum","MaximumOutlier"
"46","mixedwood",0.55,-0.347544724352996,0.15892022575963,-0.348656276959208,-0.478520511723651,-0.222774358316794,0.255746153406857,-0.862139741833937,-0.727050510887996,0.160844871793491,0.0791046918398741
"47","mixedwood",0.65,-0.381745665504697,0.201962489119241,-0.372809325490506,-0.541075326123193,-0.230574625091891,0.310500701031302,-1.00682637767015,-0.886337517830792,0.235176426455062,0.103216935600002
"48","mixedwood",0.75,-0.472960490074281,0.268288478624483,-0.457927450144654,-0.692588045389706,-0.28466649549927,0.407921549890436,-1.30447037022536,-1.13770222070532,0.327215829336383,0.171398280095191
"49","mixedwood",0.85,-0.590455433560692,0.369265097146565,-0.54975517683305,-0.87542870954479,-0.318997145298992,0.556431564245798,-1.71007605591349,-1.58071241471023,0.515650201069705,0.185564452030369
"50","mixedwood",0.95,-0.769095115367119,0.585052692042043,-0.714424014488204,-1.14311667108124,-0.272515797670716,0.870600873410522,-2.44901798119702,-2.40863034825009,1.03338551244507,0.249897342789093
"51","grassland",0.05,-0.00595546259256938,0.0517298679116364,0.00269734729854945,-0.0349864560087805,0.0360451558504006,0.0710316118591811,-0.141533873797552,-0.109035751928158,0.142592573639172,0.0708279607023045
"52","grassland",0.15,0.0126378227115433,0.111688061473142,0.013705821166066,-0.0914355204659745,0.129121810999737,0.220557331465711,-0.422271517664541,-0.17047040043171,0.459957808198304,0.191207655454043
"53","grassland",0.25,-0.0203910798786618,0.124465744569604,-0.0121353055585658,-0.138565165969728,0.0960310763156366,0.234596242285365,-0.490459529397775,-0.229803583536692,0.447925439743684,0.17075881759918
"54","grassland",0.35,-0.0714805797940944,0.148091705721085,-0.0752883970675996,-0.199263047861183,0.075325943660032,0.274588991521215,-0.611146535143004,-0.320643982400255,0.487209430941854,0.139772676536727
"55","grassland",0.45,-0.122591181838877,0.17404859798326,-0.12236703255988,-0.264421953346841,0.0245125501553179,0.288934503502159,-0.697823708600078,-0.439622181813223,0.457914305408556,0.132616674980059
"56","grassland",0.55,-0.154135530676212,0.186925615594496,-0.13785889217482,-0.286089509585041,-0.0124764939085766,0.273613015676464,-0.696509033099737,-0.53200620361992,0.39794302960612,0.123245093412353
"57","grassland",0.65,-0.184022957358659,0.218809374763614,-0.173846685469138,-0.338274699143293,0.0110927871055359,0.349367486248829,-0.862325928516537,-0.711340709290457,0.53514401647878,0.137671295290697
"58","grassland",0.75,-0.126239807650093,0.320657706656767,-0.127244261723538,-0.320683202233264,0.155286647825198,0.475969850058462,-1.03463797732096,-0.87669118932866,0.869241422912891,0.370586874024175
"59","grassland",0.85,-0.169967762658053,0.399952144495,-0.144945952456337,-0.3043569231587,0.130743264227278,0.435100187385979,-0.957007204237669,-1.2592093831245,0.783393545306247,0.367636935078764
"60","grassland",0.95,-0.307239763361497,0.598916108493452,-0.146286204328018,-0.402588257500073,0.0148992116792503,0.417487469179323,-1.02881946126906,-2.31259674168393,0.641130415448236,0.515566022113241
"61","wetland",0.05,0.0293863256438357,0.0816506003201368,0.0102965452397652,-0.0234213237253296,0.0863522312413557,0.109773554966685,-0.188081656175357,-0.12002539767174,0.251012563691384,0.202105195083667
"62","wetland",0.15,0.0179353254277391,0.128781110162815,-0.0108901628660062,-0.0673674260267046,0.0807019924521483,0.148069418478853,-0.289471553744984,-0.20069997323813,0.302806120170428,0.29164685097744
"63","wetland",0.25,-0.0228250175502671,0.157431279127532,-0.0595382638730136,-0.130367954244558,0.0873991984175615,0.217767152662119,-0.457018683237737,-0.299411465960784,0.41404992741074,0.307560467679394
"64","wetland",0.35,-0.0664044597561481,0.202836838197248,-0.11042803815564,-0.20819046074593,0.0870244678286537,0.295214928574583,-0.651012853607805,-0.411511110905238,0.529846860690529,0.368244372325168
"65","wetland",0.45,-0.111283506509946,0.24532333025493,-0.160481565032565,-0.289256764467846,0.0930263980382549,0.382283162506101,-0.862681508226998,-0.529592747457966,0.666451141797407,0.412556589237964
"66","wetland",0.55,-0.159403657591749,0.260732175285388,-0.201412775693828,-0.364961519746026,0.0732504665764123,0.438211986322438,-1.02227949922968,-0.645216857712435,0.730568446060069,0.413444279373501
"67","wetland",0.65,-0.202512326662727,0.287988981927453,-0.219454892720931,-0.429525529153945,0.0343572841180573,0.463882813272003,-1.12534974906195,-0.788443215550162,0.730181504026061,0.426658625860515
"68","wetland",0.75,-0.24323773302021,0.366350717597679,-0.242489723376239,-0.536529667377293,0.0877838417994744,0.624313509176768,-1.47299993114245,-1.06031192942705,1.02425410556463,0.442128439860778
"69","wetland",0.85,-0.299903823593531,0.457648413542785,-0.254677503343435,-0.671076387265305,0.0687200662639492,0.739796453529254,-1.78077106755919,-1.43391180095421,1.17841474655783,0.490552232773314
"70","wetland",0.95,-0.42612161236607,0.617726084790719,-0.309817597622376,-0.923562262794595,0.0847632701663523,1.00832553296095,-2.43605056223602,-2.10325826525563,1.59725156960777,0.576494338459081
